,REF_DATE,GEO,DGUID,National Occupational Classification (NOC),Statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
5966,2013,Alberta,2016A000248,All occupations,"Median wages, salaries and commissions, males",2018 constant dollars,400,units,0,v1063749046,12.1.15,59600.0,A,,,0
5967,2013,Alberta,2016A000248,All occupations,"Median gender pay ratio in annual wages, salaries and commissions",Number,223,units,0,v1063749047,12.1.16,0.58,B,,,2
6144,2013,British Columbia,2016A000259,All occupations,"Average employment income, both sexes",2018 constant dollars,400,units,0,v1063749224,13.1.1,43600.0,A,,,0
6145,2013,British Columbia,2016A000259,All occupations,"Average employment income, females",2018 constant dollars,400,units,0,v1063749225,13.1.2,34200.0,B,,,0
6146,2013,British Columbia,2016A000259,All occupations,"Average employment income, males",2018 constant dollars,400,units,0,v1063749226,13.1.3,51900.0,B,,,0
6147,2013,British Columbia,2016A000259,All occupations,Average gender pay ratio in annual employment income,Number,223,units,0,v1063749227,13.1.4,0.66,B,,,2
6148,2013,British Columbia,2016A000259,All occupations,"Median employment income, both sexes",2018 constant dollars,400,units,0,v1063749228,13.1.5,32300.0,A,,,0
6149,2013,British Columbia,2016A000259,All occupations,"Median employment income, females",2018 constant dollars,400,units,0,v1063749229,13.1.6,26100.0,B,,,0
6150,2013,British Columbia,2016A000259,All occupations,"Median employment income, males",2018 constant dollars,400,units,0,v1063749230,13.1.7,41200.0,B,,,0
6151,2013,British Columbia,2016A000259,All occupations,Median gender pay ratio in annual employment income,Number,223,units,0,v1063749231,13.1.8,0.63,C,,,2
6152,2013,British Columbia,2016A000259,All occupations,"Average wages, salaries and commissions, both sexes",2018 constant dollars,400,units,0,v1063749232,13.1.9,44600.0,A,,,0
6153,2013,British Columbia,2016A000259,All occupations,"Average wages, salaries and commissions, females",2018 constant dollars,400,units,0,v1063749233,13.1.10,35200.0,B,,,0
6154,2013,British Columbia,2016A000259,All occupations,"Average wages, salaries and commissions, males",2018 constant dollars,400,units,0,v1063749234,13.1.11,53100.0,B,,,0
6155,2013,British Columbia,2016A000259,All occupations,"Average gender pay ratio in annual wages, salaries and commissions",Number,223,units,0,v1063749235,13.1.12,0.66,C,,,2
6156,2013,British Columbia,2016A000259,All occupations,"Median wages, salaries and commissions, both sexes",2018 constant dollars,400,units,0,v1063749236,13.1.13,33800.0,A,,,0
6157,2013,British Columbia,2016A000259,All occupations,"Median wages, salaries and commissions, females",2018 constant dollars,400,units,0,v1063749237,13.1.14,26600.0,B,,,0
6158,2013,British Columbia,2016A000259,All occupations,"Median wages, salaries and commissions, males",2018 constant dollars,400,units,0,v1063749238,13.1.15,43100.0,B,,,0
6159,2013,British Columbia,2016A000259,All occupations,"Median gender pay ratio in annual wages, salaries and commissions",Number,223,units,0,v1063749239,13.1.16,0.62,C,,,2
6336,2013,"Canada, 16 to 24 years",,All occupations,"Average employment income, both sexes",2018 constant dollars,400,units,0,v1063749416,14.1.1,15100.0,A,,,0
6337,2013,"Canada, 16 to 24 years",,All occupations,"Average employment income, females",2018 constant dollars,400,units,0,v1063749417,14.1.2,13300.0,B,,,0
6338,2013,"Canada, 16 to 24 years",,All occupations,"Average employment income, males",2018 constant dollars,400,units,0,v1063749418,14.1.3,16900.0,B,,,0
6339,2013,"Canada, 16 to 24 years",,All occupations,Average gender pay ratio in annual employment income,Number,223,units,0,v1063749419,14.1.4,0.79,B,,,2
6340,2013,"Canada, 16 to 24 years",,All occupations,"Median employment income, both sexes",2018 constant dollars,400,units,0,v1063749420,14.1.5,10300.0,B,,,0
6341,2013,"Canada, 16 to 24 years",,All occupations,"Median employment income, females",2018 constant dollars,400,units,0,v1063749421,14.1.6,9600.0,B,,,0
6342,2013,"Canada, 16 to 24 years",,All occupations,"Median employment income, males",2018 constant dollars,400,units,0,v1063749422,14.1.7,11000.0,B,,,0
6343,2013,"Canada, 16 to 24 years",,All occupations,Median gender pay ratio in annual employment income,Number,223,units,0,v1063749423,14.1.8,0.87,C,,,2
6344,2013,"Canada, 16 to 24 years",,All occupations,"Average wages, salaries and commissions, both sexes",2018 constant dollars,400,units,0,v1063749424,14.1.9,15100.0,B,,,0
6345,2013,"Canada, 16 to 24 years",,All occupations,"Average wages, salaries and commissions, females",2018 constant dollars,400,units,0,v1063749425,14.1.10,13300.0,B,,,0
6346,2013,"Canada, 16 to 24 years",,All occupations,"Average wages, salaries and commissions, males",2018 constant dollars,400,units,0,v1063749426,14.1.11,16800.0,B,,,0
6347,2013,"Canada, 16 to 24 years",,All occupations,"Average gender pay ratio in annual wages, salaries and commissions",Number,223,units,0,v1063749427,14.1.12,0.79,B,,,2
6348,2013,"Canada, 16 to 24 years",,All occupations,"Median wages, salaries and commissions, both sexes",2018 constant dollars,400,units,0,v1063749428,14.1.13,10300.0,B,,,0
6349,2013,"Canada, 16 to 24 years",,All occupations,"Median wages, salaries and commissions, females",2018 constant dollars,400,units,0,v1063749429,14.1.14,9500.0,B,,,0
6350,2013,"Canada, 16 to 24 years",,All occupations,"Median wages, salaries and commissions, males",2018 constant dollars,400,units,0,v1063749430,14.1.15,11000.0,B,,,0
6351,2013,"Canada, 16 to 24 years",,All occupations,"Median gender pay ratio in annual wages, salaries and commissions",Number,223,units,0,v1063749431,14.1.16,0.87,C,,,2
6528,2013,"Canada, 25 to 54 years",,All occupations,"Average employment income, both sexes",2018 constant dollars,400,units,0,v1063749608,15.1.1,55300.0,A,,,0
6529,2013,"Canada, 25 to 54 years",,All occupations,"Average employment income, females",2018 constant dollars,400,units,0,v1063749609,15.1.2,44600.0,A,,,0
6530,2013,"Canada, 25 to 54 years",,All occupations,"Average employment income, males",2018 constant dollars,400,units,0,v1063749610,15.1.3,65200.0,A,,,0
6531,2013,"Canada, 25 to 54 years",,All occupations,Average gender pay ratio in annual employment income,Number,223,units,0,v1063749611,15.1.4,0.69,A,,,2
6532,2013,"Canada, 25 to 54 years",,All occupations,"Median employment income, both sexes",2018 constant dollars,400,units,0,v1063749612,15.1.5,45400.0,A,,,0
6533,2013,"Canada, 25 to 54 years",,All occupations,"Median employment income, females",2018 constant dollars,400,units,0,v1063749613,15.1.6,38200.0,A,,,0
6534,2013,"Canada, 25 to 54 years",,All occupations,"Median employment income, males",2018 constant dollars,400,units,0,v1063749614,15.1.7,54100.0,A,,,0
6535,2013,"Canada, 25 to 54 years",,All occupations,Median gender pay ratio in annual employment income,Number,223,units,0,v1063749615,15.1.8,0.71,A,,,2
6536,2013,"Canada, 25 to 54 years",,All occupations,"Average wages, salaries and commissions, both sexes",2018 constant dollars,400,units,0,v1063749616,15.1.9,56500.0,A,,,0
6537,2013,"Canada, 25 to 54 years",,All occupations,"Average wages, salaries and commissions, females",2018 constant dollars,400,units,0,v1063749617,15.1.10,45600.0,A,,,0
6538,2013,"Canada, 25 to 54 years",,All occupations,"Average wages, salaries and commissions, males",2018 constant dollars,400,units,0,v1063749618,15.1.11,66700.0,A,,,0
6539,2013,"Canada, 25 to 54 years",,All occupations,"Average gender pay ratio in annual wages, salaries and commissions",Number,223,units,0,v1063749619,15.1.12,0.68,A,,,2
6540,2013,"Canada, 25 to 54 years",,All occupations,"Median wages, salaries and commissions, both sexes",2018 constant dollars,400,units,0,v1063749620,15.1.13,47100.0,A,,,0
6541,2013,"Canada, 25 to 54 years",,All occupations,"Median wages, salaries and commissions, females",2018 constant dollars,400,units,0,v1063749621,15.1.14,39600.0,A,,,0
6542,2013,"Canada, 25 to 54 years",,All occupations,"Median wages, salaries and commissions, males",2018 constant dollars,400,units,0,v1063749622,15.1.15,55900.0,A,,,0
6543,2013,"Canada, 25 to 54 years",,All occupations,"Median gender pay ratio in annual wages, salaries and commissions",Number,223,units,0,v1063749623,15.1.16,0.71,A,,,2
6720,2013,"Canada, 25 to 34 years",,All occupations,"Average employment income, both sexes",2018 constant dollars,400,units,0,v1063749800,16.1.1,44700.0,A,,,0
6721,2013,"Canada, 25 to 34 years",,All occupations,"Average employment income, females",2018 constant dollars,400,units,0,v1063749801,16.1.2,36700.0,A,,,0
6722,2013,"Canada, 25 to 34 years",,All occupations,"Average employment income, males",2018 constant dollars,400,units,0,v1063749802,16.1.3,52100.0,A,,,0
6723,2013,"Canada, 25 to 34 years",,All occupations,Average gender pay ratio in annual employment income,Number,223,units,0,v1063749803,16.1.4,0.7,B,,,2
6724,2013,"Canada, 25 to 34 years",,All occupations,"Median employment income, both sexes",2018 constant dollars,400,units,0,v1063749804,16.1.5,37900.0,A,,,0
6725,2013,"Canada, 25 to 34 years",,All occupations,"Median employment income, females",2018 constant dollars,400,units,0,v1063749805,16.1.6,31800.0,B,,,0
6726,2013,"Canada, 25 to 34 years",,All occupations,"Median employment income, males",2018 constant dollars,400,units,0,v1063749806,16.1.7,43900.0,B,,,0
6727,2013,"Canada, 25 to 34 years",,All occupations,Median gender pay ratio in annual employment income,Number,223,units,0,v1063749807,16.1.8,0.72,B,,,2
6728,2013,"Canada, 25 to 34 years",,All occupations,"Average wages, salaries and commissions, both sexes",2018 constant dollars,400,units,0,v1063749808,16.1.9,45100.0,A,,,0
6729,2013,"Canada, 25 to 34 years",,All occupations,"Average wages, salaries and commissions, females",2018 constant dollars,400,units,0,v1063749809,16.1.10,36900.0,A,,,0
6730,2013,"Canada, 25 to 34 years",,All occupations,"Average wages, salaries and commissions, males",2018 constant dollars,400,units,0,v1063749810,16.1.11,52600.0,A,,,0
6731,2013,"Canada, 25 to 34 years",,All occupations,"Average gender pay ratio in annual wages, salaries and commissions",Number,223,units,0,v1063749811,16.1.12,0.7,B,,,2
6732,2013,"Canada, 25 to 34 years",,All occupations,"Median wages, salaries and commissions, both sexes",2018 constant dollars,400,units,0,v1063749812,16.1.13,38800.0,A,,,0
6733,2013,"Canada, 25 to 34 years",,All occupations,"Median wages, salaries and commissions, females",2018 constant dollars,400,units,0,v1063749813,16.1.14,33000.0,B,,,0
6734,2013,"Canada, 25 to 34 years",,All occupations,"Median wages, salaries and commissions, males",2018 constant dollars,400,units,0,v1063749814,16.1.15,44600.0,A,,,0
6735,2013,"Canada, 25 to 34 years",,All occupations,"Median gender pay ratio in annual wages, salaries and commissions",Number,223,units,0,v1063749815,16.1.16,0.74,B,,,2
6912,2013,"Canada, 35 to 44 years",,All occupations,"Average employment income, both sexes",2018 constant dollars,400,units,0,v1063749992,17.1.1,58500.0,A,,,0
6913,2013,"Canada, 35 to 44 years",,All occupations,"Average employment income, females",2018 constant dollars,400,units,0,v1063749993,17.1.2,47500.0,A,,,0
6914,2013,"Canada, 35 to 44 years",,All occupations,"Average employment income, males",2018 constant dollars,400,units,0,v1063749994,17.1.3,68700.0,B,,,0
6915,2013,"Canada, 35 to 44 years",,All occupations,Average gender pay ratio in annual employment income,Number,223,units,0,v1063749995,17.1.4,0.69,B,,,2
6916,2013,"Canada, 35 to 44 years",,All occupations,"Median employment income, both sexes",2018 constant dollars,400,units,0,v1063749996,17.1.5,47800.0,A,,,0
6917,2013,"Canada, 35 to 44 years",,All occupations,"Median employment income, females",2018 constant dollars,400,units,0,v1063749997,17.1.6,40200.0,B,,,0
6918,2013,"Canada, 35 to 44 years",,All occupations,"Median employment income, males",2018 constant dollars,400,units,0,v1063749998,17.1.7,57000.0,A,,,0
6919,2013,"Canada, 35 to 44 years",,All occupations,Median gender pay ratio in annual employment income,Number,223,units,0,v1063749999,17.1.8,0.71,B,,,2
6920,2013,"Canada, 35 to 44 years",,All occupations,"Average wages, salaries and commissions, both sexes",2018 constant dollars,400,units,0,v1063750000,17.1.9,59700.0,A,,,0
6921,2013,"Canada, 35 to 44 years",,All occupations,"Average wages, salaries and commissions, females",2018 constant dollars,400,units,0,v1063750001,17.1.10,48300.0,B,,,0
6922,2013,"Canada, 35 to 44 years",,All occupations,"Average wages, salaries and commissions, males",2018 constant dollars,400,units,0,v1063750002,17.1.11,70300.0,B,,,0
6923,2013,"Canada, 35 to 44 years",,All occupations,"Average gender pay ratio in annual wages, salaries and commissions",Number,223,units,0,v1063750003,17.1.12,0.69,B,,,2
6924,2013,"Canada, 35 to 44 years",,All occupations,"Median wages, salaries and commissions, both sexes",2018 constant dollars,400,units,0,v1063750004,17.1.13,49500.0,A,,,0
6925,2013,"Canada, 35 to 44 years",,All occupations,"Median wages, salaries and commissions, females",2018 constant dollars,400,units,0,v1063750005,17.1.14,41100.0,B,,,0
6926,2013,"Canada, 35 to 44 years",,All occupations,"Median wages, salaries and commissions, males",2018 constant dollars,400,units,0,v1063750006,17.1.15,59000.0,A,,,0
6927,2013,"Canada, 35 to 44 years",,All occupations,"Median gender pay ratio in annual wages, salaries and commissions",Number,223,units,0,v1063750007,17.1.16,0.7,B,,,2
7104,2013,"Canada, 45 to 54 years",,All occupations,"Average employment income, both sexes",2018 constant dollars,400,units,0,v1063750184,18.1.1,62400.0,A,,,0
7105,2013,"Canada, 45 to 54 years",,All occupations,"Average employment income, females",2018 constant dollars,400,units,0,v1063750185,18.1.2,49600.0,A,,,0
7106,2013,"Canada, 45 to 54 years",,All occupations,"Average employment income, males",2018 constant dollars,400,units,0,v1063750186,18.1.3,74300.0,B,,,0
7107,2013,"Canada, 45 to 54 years",,All occupations,Average gender pay ratio in annual employment income,Number,223,units,0,v1063750187,18.1.4,0.67,B,,,2
7108,2013,"Canada, 45 to 54 years",,All occupations,"Median employment income, both sexes",2018 constant dollars,400,units,0,v1063750188,18.1.5,51300.0,A,,,0
7109,2013,"Canada, 45 to 54 years",,All occupations,"Median employment income, females",2018 constant dollars,400,units,0,v1063750189,18.1.6,42500.0,B,,,0
7110,2013,"Canada, 45 to 54 years",,All occupations,"Median employment income, males",2018 constant dollars,400,units,0,v1063750190,18.1.7,61500.0,A,,,0
7111,2013,"Canada, 45 to 54 years",,All occupations,Median gender pay ratio in annual employment income,Number,223,units,0,v1063750191,18.1.8,0.69,B,,,2
7112,2013,"Canada, 45 to 54 years",,All occupations,"Average wages, salaries and commissions, both sexes",2018 constant dollars,400,units,0,v1063750192,18.1.9,64800.0,A,,,0
7113,2013,"Canada, 45 to 54 years",,All occupations,"Average wages, salaries and commissions, females",2018 constant dollars,400,units,0,v1063750193,18.1.10,51700.0,A,,,0
7114,2013,"Canada, 45 to 54 years",,All occupations,"Average wages, salaries and commissions, males",2018 constant dollars,400,units,0,v1063750194,18.1.11,77400.0,B,,,0
7115,2013,"Canada, 45 to 54 years",,All occupations,"Average gender pay ratio in annual wages, salaries and commissions",Number,223,units,0,v1063750195,18.1.12,0.67,B,,,2
7116,2013,"Canada, 45 to 54 years",,All occupations,"Median wages, salaries and commissions, both sexes",2018 constant dollars,400,units,0,v1063750196,18.1.13,54300.0,A,,,0
7117,2013,"Canada, 45 to 54 years",,All occupations,"Median wages, salaries and commissions, females",2018 constant dollars,400,units,0,v1063750197,18.1.14,45200.0,A,,,0
7118,2013,"Canada, 45 to 54 years",,All occupations,"Median wages, salaries and commissions, males",2018 constant dollars,400,units,0,v1063750198,18.1.15,64600.0,A,,,0
7119,2013,"Canada, 45 to 54 years",,All occupations,"Median gender pay ratio in annual wages, salaries and commissions",Number,223,units,0,v1063750199,18.1.16,0.7,B,,,2
7296,2013," Canada, 55 to 64 years",,All occupations,"Average employment income, both sexes",2018 constant dollars,400,units,0,v1063750376,19.1.1,51300.0,B,,,0
7297,2013," Canada, 55 to 64 years",,All occupations,"Average employment income, females",2018 constant dollars,400,units,0,v1063750377,19.1.2,39500.0,B,,,0
7298,2013," Canada, 55 to 64 years",,All occupations,"Average employment income, males",2018 constant dollars,400,units,0,v1063750378,19.1.3,61300.0,B,,,0
7299,2013," Canada, 55 to 64 years",,All occupations,Average gender pay ratio in annual employment income,Number,223,units,0,v1063750379,19.1.4,0.65,C,,,2
7300,2013," Canada, 55 to 64 years",,All occupations,"Median employment income, both sexes",2018 constant dollars,400,units,0,v1063750380,19.1.5,37200.0,B,,,0
7301,2013," Canada, 55 to 64 years",,All occupations,"Median employment income, females",2018 constant dollars,400,units,0,v1063750381,19.1.6,31200.0,B,,,0
7302,2013," Canada, 55 to 64 years",,All occupations,"Median employment income, males",2018 constant dollars,400,units,0,v1063750382,19.1.7,43500.0,B,,,0
7303,2013," Canada, 55 to 64 years",,All occupations,Median gender pay ratio in annual employment income,Number,223,units,0,v1063750383,19.1.8,0.72,C,,,2
7304,2013," Canada, 55 to 64 years",,All occupations,"Average wages, salaries and commissions, both sexes",2018 constant dollars,400,units,0,v1063750384,19.1.9,53500.0,B,,,0
7305,2013," Canada, 55 to 64 years",,All occupations,"Average wages, salaries and commissions, females",2018 constant dollars,400,units,0,v1063750385,19.1.10,41700.0,B,,,0
7306,2013," Canada, 55 to 64 years",,All occupations,"Average wages, salaries and commissions, males",2018 constant dollars,400,units,0,v1063750386,19.1.11,63400.0,B,,,0
7307,2013," Canada, 55 to 64 years",,All occupations,"Average gender pay ratio in annual wages, salaries and commissions",Number,223,units,0,v1063750387,19.1.12,0.66,C,,,2
7308,2013," Canada, 55 to 64 years",,All occupations,"Median wages, salaries and commissions, both sexes",2018 constant dollars,400,units,0,v1063750388,19.1.13,40800.0,B,,,0
7309,2013," Canada, 55 to 64 years",,All occupations,"Median wages, salaries and commissions, females",2018 constant dollars,400,units,0,v1063750389,19.1.14,34800.0,B,,,0
7310,2013," Canada, 55 to 64 years",,All occupations,"Median wages, salaries and commissions, males",2018 constant dollars,400,units,0,v1063750390,19.1.15,47000.0,B,,,0
7311,2013," Canada, 55 to 64 years",,All occupations,"Median gender pay ratio in annual wages, salaries and commissions",Number,223,units,0,v1063750391,19.1.16,0.74,C,,,2
7488,2013," Canada,  65 years and over",,All occupations,"Average employment income, both sexes",2018 constant dollars,400,units,0,v1063750568,20.1.1,18900.0,C,,,0
7489,2013," Canada,  65 years and over",,All occupations,"Average employment income, females",2018 constant dollars,400,units,0,v1063750569,20.1.2,15200.0,C,,,0
7490,2013," Canada,  65 years and over",,All occupations,"Average employment income, males",2018 constant dollars,400,units,0,v1063750570,20.1.3,21300.0,C,,,0
7491,2013," Canada,  65 years and over",,All occupations,Average gender pay ratio in annual employment income,Number,223,units,0,v1063750571,20.1.4,0.72,D,,,2
7492,2013," Canada,  65 years and over",,All occupations,"Median employment income, both sexes",2018 constant dollars,400,units,0,v1063750572,20.1.5,5400.0,D,,,0
7493,2013," Canada,  65 years and over",,All occupations,"Median employment income, females",2018 constant dollars,400,units,0,v1063750573,20.1.6,5400.0,D,,,0
7494,2013," Canada,  65 years and over",,All occupations,"Median employment income, males",2018 constant dollars,400,units,0,v1063750574,20.1.7,5200.0,E,,,0
7495,2013," Canada,  65 years and over",,All occupations,Median gender pay ratio in annual employment income,Number,223,units,0,v1063750575,20.1.8,1.05,E,,,2
7496,2013," Canada,  65 years and over",,All occupations,"Average wages, salaries and commissions, both sexes",2018 constant dollars,400,units,0,v1063750576,20.1.9,20200.0,C,,,0
7497,2013," Canada,  65 years and over",,All occupations,"Average wages, salaries and commissions, females",2018 constant dollars,400,units,0,v1063750577,20.1.10,15600.0,C,,,0
7498,2013," Canada,  65 years and over",,All occupations,"Average wages, salaries and commissions, males",2018 constant dollars,400,units,0,v1063750578,20.1.11,23400.0,C,,,0
7499,2013," Canada,  65 years and over",,All occupations,"Average gender pay ratio in annual wages, salaries and commissions",Number,223,units,0,v1063750579,20.1.12,0.67,D,,,2
7500,2013," Canada,  65 years and over",,All occupations,"Median wages, salaries and commissions, both sexes",2018 constant dollars,400,units,0,v1063750580,20.1.13,5100.0,E,,,0
7501,2013," Canada,  65 years and over",,All occupations,"Median wages, salaries and commissions, females",2018 constant dollars,400,units,0,v1063750581,20.1.14,5300.0,E,,,0
7502,2013," Canada,  65 years and over",,All occupations,"Median wages, salaries and commissions, males",2018 constant dollars,400,units,0,v1063750582,20.1.15,4900.0,E,,,0
7503,2013," Canada,  65 years and over",,All occupations,"Median gender pay ratio in annual wages, salaries and commissions",Number,223,units,0,v1063750583,20.1.16,,F,,,2
7680,2014,Canada,2016A000011124,All occupations,"Average employment income, both sexes",2018 constant dollars,400,units,0,v1063746920,1.1.1,46200.0,A,,,0
7681,2014,Canada,2016A000011124,All occupations,"Average employment income, females",2018 constant dollars,400,units,0,v1063746921,1.1.2,37200.0,A,,,0
7682,2014,Canada,2016A000011124,All occupations,"Average employment income, males",2018 constant dollars,400,units,0,v1063746922,1.1.3,54300.0,A,,,0
7683,2014,Canada,2016A000011124,All occupations,Average gender pay ratio in annual employment income,Number,223,units,0,v1063746923,1.1.4,0.69,A,,,2
7684,2014,Canada,2016A000011124,All occupations,"Median employment income, both sexes",2018 constant dollars,400,units,0,v1063746924,1.1.5,35000.0,A,,,0
7685,2014,Canada,2016A000011124,All occupations,"Median employment income, females",2018 constant dollars,400,units,0,v1063746925,1.1.6,28900.0,A,,,0
7686,2014,Canada,2016A000011124,All occupations,"Median employment income, males",2018 constant dollars,400,units,0,v1063746926,1.1.7,41500.0,A,,,0
7687,2014,Canada,2016A000011124,All occupations,Median gender pay ratio in annual employment income,Number,223,units,0,v1063746927,1.1.8,0.7,A,,,2
7688,2014,Canada,2016A000011124,All occupations,"Average wages, salaries and commissions, both sexes",2018 constant dollars,400,units,0,v1063746928,1.1.9,47400.0,A,,,0
7689,2014,Canada,2016A000011124,All occupations,"Average wages, salaries and commissions, females",2018 constant dollars,400,units,0,v1063746929,1.1.10,38000.0,A,,,0
7690,2014,Canada,2016A000011124,All occupations,"Average wages, salaries and commissions, males",2018 constant dollars,400,units,0,v1063746930,1.1.11,55900.0,A,,,0
7691,2014,Canada,2016A000011124,All occupations,"Average gender pay ratio in annual wages, salaries and commissions",Number,223,units,0,v1063746931,1.1.12,0.68,A,,,2
7692,2014,Canada,2016A000011124,All occupations,"Median wages, salaries and commissions, both sexes",2018 constant dollars,400,units,0,v1063746932,1.1.13,36800.0,A,,,0
7693,2014,Canada,2016A000011124,All occupations,"Median wages, salaries and commissions, females",2018 constant dollars,400,units,0,v1063746933,1.1.14,30200.0,A,,,0
7694,2014,Canada,2016A000011124,All occupations,"Median wages, salaries and commissions, males",2018 constant dollars,400,units,0,v1063746934,1.1.15,44100.0,A,,,0
7695,2014,Canada,2016A000011124,All occupations,"Median gender pay ratio in annual wages, salaries and commissions",Number,223,units,0,v1063746935,1.1.16,0.68,B,,,2
7872,2014,Atlantic provinces,2016A00011,All occupations,"Average employment income, both sexes",2018 constant dollars,400,units,0,v1063747112,2.1.1,41400.0,A,,,0
7873,2014,Atlantic provinces,2016A00011,All occupations,"Average employment income, females",2018 constant dollars,400,units,0,v1063747113,2.1.2,34100.0,A,,,0
7874,2014,Atlantic provinces,2016A00011,All occupations,"Average employment income, males",2018 constant dollars,400,units,0,v1063747114,2.1.3,48200.0,A,,,0
7875,2014,Atlantic provinces,2016A00011,All occupations,Average gender pay ratio in annual employment income,Number,223,units,0,v1063747115,2.1.4,0.71,B,,,2
7876,2014,Atlantic provinces,2016A00011,All occupations,"Median employment income, both sexes",2018 constant dollars,400,units,0,v1063747116,2.1.5,31600.0,A,,,0
7877,2014,Atlantic provinces,2016A00011,All occupations,"Median employment income, females",2018 constant dollars,400,units,0,v1063747117,2.1.6,27100.0,A,,,0
7878,2014,Atlantic provinces,2016A00011,All occupations,"Median employment income, males",2018 constant dollars,400,units,0,v1063747118,2.1.7,37500.0,A,,,0
7879,2014,Atlantic provinces,2016A00011,All occupations,Median gender pay ratio in annual employment income,Number,223,units,0,v1063747119,2.1.8,0.72,B,,,2
7880,2014,Atlantic provinces,2016A00011,All occupations,"Average wages, salaries and commissions, both sexes",2018 constant dollars,400,units,0,v1063747120,2.1.9,42300.0,A,,,0
7881,2014,Atlantic provinces,2016A00011,All occupations,"Average wages, salaries and commissions, females",2018 constant dollars,400,units,0,v1063747121,2.1.10,34900.0,A,,,0
7882,2014,Atlantic provinces,2016A00011,All occupations,"Average wages, salaries and commissions, males",2018 constant dollars,400,units,0,v1063747122,2.1.11,49400.0,A,,,0
7883,2014,Atlantic provinces,2016A00011,All occupations,"Average gender pay ratio in annual wages, salaries and commissions",Number,223,units,0,v1063747123,2.1.12,0.71,B,,,2
7884,2014,Atlantic provinces,2016A00011,All occupations,"Median wages, salaries and commissions, both sexes",2018 constant dollars,400,units,0,v1063747124,2.1.13,32900.0,A,,,0
7885,2014,Atlantic provinces,2016A00011,All occupations,"Median wages, salaries and commissions, females",2018 constant dollars,400,units,0,v1063747125,2.1.14,28200.0,A,,,0
7886,2014,Atlantic provinces,2016A00011,All occupations,"Median wages, salaries and commissions, males",2018 constant dollars,400,units,0,v1063747126,2.1.15,39200.0,A,,,0
7887,2014,Atlantic provinces,2016A00011,All occupations,"Median gender pay ratio in annual wages, salaries and commissions",Number,223,units,0,v1063747127,2.1.16,0.72,B,,,2
8064,2014,Newfoundland and Labrador,2016A000210,All occupations,"Average employment income, both sexes",2018 constant dollars,400,units,0,v1063747304,3.1.1,47200.0,A,,,0
8065,2014,Newfoundland and Labrador,2016A000210,All occupations,"Average employment income, females",2018 constant dollars,400,units,0,v1063747305,3.1.2,34300.0,B,,,0
8066,2014,Newfoundland and Labrador,2016A000210,All occupations,"Average employment income, males",2018 constant dollars,400,units,0,v1063747306,3.1.3,58900.0,B,,,0
8067,2014,Newfoundland and Labrador,2016A000210,All occupations,Average gender pay ratio in annual employment income,Number,223,units,0,v1063747307,3.1.4,0.58,C,,,2
8068,2014,Newfoundland and Labrador,2016A000210,All occupations,"Median employment income, both sexes",2018 constant dollars,400,units,0,v1063747308,3.1.5,33800.0,B,,,0
8069,2014,Newfoundland and Labrador,2016A000210,All occupations,"Median employment income, females",2018 constant dollars,400,units,0,v1063747309,3.1.6,24100.0,C,,,0
8070,2014,Newfoundland and Labrador,2016A000210,All occupations,"Median employment income, males",2018 constant dollars,400,units,0,v1063747310,3.1.7,44800.0,C,,,0
8071,2014,Newfoundland and Labrador,2016A000210,All occupations,Median gender pay ratio in annual employment income,Number,223,units,0,v1063747311,3.1.8,0.54,D,,,2
8072,2014,Newfoundland and Labrador,2016A000210,All occupations,"Average wages, salaries and commissions, both sexes",2018 constant dollars,400,units,0,v1063747312,3.1.9,47800.0,A,,,0
8073,2014,Newfoundland and Labrador,2016A000210,All occupations,"Average wages, salaries and commissions, females",2018 constant dollars,400,units,0,v1063747313,3.1.10,34400.0,B,,,0
8074,2014,Newfoundland and Labrador,2016A000210,All occupations,"Average wages, salaries and commissions, males",2018 constant dollars,400,units,0,v1063747314,3.1.11,60100.0,B,,,0
8075,2014,Newfoundland and Labrador,2016A000210,All occupations,"Average gender pay ratio in annual wages, salaries and commissions",Number,223,units,0,v1063747315,3.1.12,0.57,C,,,2
8076,2014,Newfoundland and Labrador,2016A000210,All occupations,"Median wages, salaries and commissions, both sexes",2018 constant dollars,400,units,0,v1063747316,3.1.13,35100.0,A,,,0
8077,2014,Newfoundland and Labrador,2016A000210,All occupations,"Median wages, salaries and commissions, females",2018 constant dollars,400,units,0,v1063747317,3.1.14,25400.0,C,,,0
8078,2014,Newfoundland and Labrador,2016A000210,All occupations,"Median wages, salaries and commissions, males",2018 constant dollars,400,units,0,v1063747318,3.1.15,48100.0,C,,,0
8079,2014,Newfoundland and Labrador,2016A000210,All occupations,"Median gender pay ratio in annual wages, salaries and commissions",Number,223,units,0,v1063747319,3.1.16,0.53,D,,,2
8256,2014,Prince Edward Island,2016A000211,All occupations,"Average employment income, both sexes",2018 constant dollars,400,units,0,v1063747496,4.1.1,36000.0,B,,,0
8257,2014,Prince Edward Island,2016A000211,All occupations,"Average employment income, females",2018 constant dollars,400,units,0,v1063747497,4.1.2,33400.0,B,,,0
8258,2014,Prince Edward Island,2016A000211,All occupations,"Average employment income, males",2018 constant dollars,400,units,0,v1063747498,4.1.3,38300.0,C,,,0
